OBJECTNUMMER;Soortcode;BFA_nummer;BFA_type;Standplaats;Jaar_aanleg;Venstertijden;Toegangssysteem;Camera;Beheerorganisatie;Bijzonderheden;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
96;"183";"VC92";"ATM";"Kalverstraat uitrit Spui noord";2019;"07.00-11.00";"Anders";"Toezicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8910185,52.3691118)";"POINT(52.3691118,4.8910185)";4.8910185;52.3691118;
97;"183";"VC14";"";"Sint Olofspoort/Zeedijk uit";0;"00.00-7.00/11.30-24.00";"Pasje";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8999363,52.376328)";"POINT(52.376328,4.8999363)";4.8999363;52.376328;
98;"183";"VO84";"RC600";"Myside, Loc 22 Veemkade 1000";0;"00.00-7.00/21.00-24.00";"Pasje";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9332995,52.3749727)";"POINT(52.3749727,4.9332995)";4.9332995;52.3749727;
99;"183";"slagboom (onbekend beh";"Slagboom";"Hoekenrodeplein";0;"";"Anders";"";"onbekend";"";"POINT(4.9474047,52.3130446)";"POINT(52.3130446,4.9474047)";4.9474047;52.3130446;
100;"183";"VC94";"ATM";"Nieuwendijk uitrit Dam";2019;"";"Anders";"Toezicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.892561,52.3735083)";"POINT(52.3735083,4.892561)";4.892561;52.3735083;
101;"183";"VC19";"RC600";"Bethanienstraat/Kloverniersburgwal in/uit";0;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8988879,52.3715353)";"POINT(52.3715353,4.8988879)";4.8988879;52.3715353;
102;"183";"VC31";"RC600?";"Oude turfmarkt / Nieuwe Doelenstraat in/uit";0;"00.00-7.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8939158,52.3678007)";"POINT(52.3678007,4.8939158)";4.8939158;52.3678007;
103;"183";"VC38";"RC600";"Dijksgracht West";2019;"Omhoog 17.00-Omlaag 7.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9203772,52.3755924)";"POINT(52.3755924,4.9203772)";4.9203772;52.3755924;
104;"183";"VZ64";"RC600";"Europaplein, Loc 24";2019;"00.00-00.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8937254,52.3417814)";"POINT(52.3417814,4.8937254)";4.8937254;52.3417814;
105;"183";"SZO13";"Slagboom";"Anton de Komplein, Loc 10 ";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.955732,52.3157043)";"POINT(52.3157043,4.955732)";4.955732;52.3157043;
106;"183";"SW16";"Slagboom";"Slingerlandbrug, Loc 3";0;"";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8654319,52.3857133)";"POINT(52.3857133,4.8654319)";4.8654319;52.3857133;
107;"183";"SW17  per juni 2020 ve";"Slagboom";"Inrit portiersloge, Loc 4";0;"";"Anders";"";"V&OR VIS";"Per juni 2020 verwijderd  Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8751745,52.38588)";"POINT(52.38588,4.8751745)";4.8751745;52.38588;
108;"183";"SW18 per juni 2020 vew";"Slagboom";"Uitrit portiersloge, Loc 5";0;"";"Anders";"";"V&OR VIS";"Per juni 2020 verwijderd   Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8751729,52.3859116)";"POINT(52.3859116,4.8751729)";4.8751729;52.3859116;
109;"183";"SW19 per juni 2020 vew";"Slagboom";"Zij ingang portiersloge, Loc 6";0;"";"Anders";"";"V&OR VIS";"Per juni 2020 verwijderd   Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.875182,52.3859423)";"POINT(52.3859423,4.875182)";4.875182;52.3859423;
110;"183";"SZO15 ";"Slagboom";"Remmerdenplein, Loc 20";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9748873,52.2975117)";"POINT(52.2975117,4.9748873)";4.9748873;52.2975117;
111;"183";"SZO11 lo5 ZO";"Slagboom";"Hoekenrodeplein";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9482501,52.3118678)";"POINT(52.3118678,4.9482501)";4.9482501;52.3118678;
112;"183";"SO21 (Niet in beheer)";"Slagboom";"Cruquiusweg, Loc 32 (Niet in beheer)";0;"";"Anders";"";"Werf";"";"POINT(4.9496805,52.3679245)";"POINT(52.3679245,4.9496805)";4.9496805;52.3679245;
113;"183";"SO20 (Niet in beheer)";"Slagboom";"Rozenburglaan, Loc 31 (Niet in beheer)";0;"";"Anders";"";"Werf";"";"POINT(4.9376598,52.3385793)";"POINT(52.3385793,4.9376598)";4.9376598;52.3385793;
114;"183";"SZO9";"Slagboom";"Arena Entree inrit, Loc 3 ";0;"00.00-24.00";"Anders";"Kenteken";"V&OR Stedelijk Beheer-VIS";"";"POINT(4.941571,52.3117959)";"POINT(52.3117959,4.941571)";4.941571;52.3117959;
115;"183";"SZO10";"Slagboom";"Arena Entree uitrit, Loc 4";0;"00.00-24.00";"Anders";"";"V&OR Stedelijk Beheer-VIS";"";"POINT(4.9414439,52.3118106)";"POINT(52.3118106,4.9414439)";4.9414439;52.3118106;
116;"183";"SZ08 LOC 2 ZO";"slagboom";"Arena P-risk uitrit";0;"nvt";"Pasje";"";"V&OR Stedelijk Beheer-VIS";"";"POINT(4.9385356,52.3162514)";"POINT(52.3162514,4.9385356)";4.9385356;52.3162514;
117;"183";"SZ07 loc1 ZO";"slagboom";"Arena P risk Inrit";0;"nvt";"Pasje";"";"V&OR Stedelijk Beheer-VIS";"";"POINT(4.9384472,52.3162354)";"POINT(52.3162354,4.9384472)";4.9384472;52.3162354;
118;"183";"SZ012 loc6 ZO";"Slagboom";"Bijlmerdreef";0;"6-11 uur";"Anders";"";"V&OR Stedelijk Beheer-VIS";"";"POINT(4.9467697,52.3133652)";"POINT(52.3133652,4.9467697)";4.9467697;52.3133652;
119;"183";"SZ014 loc 11 ZO";"Slagboom";"Hoogoorddreef";0;"06.00-11.00 uur";"Anders";"";"V&OR Stedelijk Beheer-VIS";"";"POINT(4.9532031,52.3128739)";"POINT(52.3128739,4.9532031)";4.9532031;52.3128739;
120;"183";"VC04";"RC600";"Blauwburgwal  thv 1";2020;"NVT";"Anders";"Regellicht";"Project /V&OR Stedelijk Beheer";"In oplevering  Betreft automatische uitrit ";"POINT(4.8909046,52.3763551)";"POINT(52.3763551,4.8909046)";4.8909046;52.3763551;
121;"183";"VN46";"RC600";"Overhoeksplein/Bercylaan";2020;"NNB";"Anders";"";"project /V&OR SB VIs";"2 pollers, 1 installatie, in aanleg";"POINT(4.9022896,52.38452)";"POINT(52.38452,4.9022896)";4.9022896;52.38452;

